source_record_id,fecha_hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,tipo_incidente,categoria_incidente,fase_vuelo,descripcion,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo,event_codes,mapped_event_codes,unknown_event_codes,mapping_rule_source,mapping_version
JST-RAW-89927439-23,2020-05-06T01:45:00,,,Esquel,Chubut,"ARC (Abnormal runway contact), F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain)",Pista,Aterrizaje,"Accidente | ARC (Abnormal runway contact), F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain) | Non-Commercial Operations / Relocation / Delivery | Esquel, Chubut",,LV-BXU,,,,,,-42.903889,-71.135556,0,0,Critico,ARC|CFIT|F-POST,ARC|CFIT|F-POST,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-34614024-20,2020-05-27T16:15:00,,,San Martín,Mendoza,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Flight Training/Instructional / Dual | San Martín, Mendoza",,LV-AOX,,,,,,-25.737222,-54.373333,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-34847138-20,2020-05-28T16:05:00,,,Añatuya,Santiago Del Estero,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Specialised Operations / Aerial Work / Other | Añatuya, Santiago Del Estero",,LV-LMS,,,,,,-28.476944,-65.845,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-35562234-20,2020-06-01T16:50:00,,,Marcos Juarez,Cordoba,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Unknown / Unknown / Se desconoce | Marcos Juarez, Cordoba",,LV-HFZ,,,,,,-31.283333,-64.466667,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-36068137-2020,2020-06-03T17:00:00,,,Resistencia (SARE),Chaco,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Specialised Operations / Aerial Work / Other | Resistencia (SARE), Chaco",,LV-YIC,,,,,,-27.45,-59.056111,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-44727485-2020,2020-06-17T18:30:00,,,Brasilia,Brasilia,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente grave | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Acrobatics | Brasilia, Brasilia",,PP-GLX,,,,,,-25.399167,-49.39,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-57834817-2020,2020-08-05T13:33:00,,,Rancho San Isidro,Guanajuato,Accidente,Operacion,Maniobra a baja altura,"Accidente | Specialised Operations / Aerial Work / Agricultural | Rancho San Isidro, Guanajuato",,XB-SEY,,,,,,-34.654167,-58.643889,0,0,Alto,,,,heuristica_textual,jst_event_code_mapping.csv
JST-RAW-53682470-2020,2020-08-14T11:00:00,,,General Rodríguez,Buenos Aires,USOS (Undershoot/overshoot),Pista,Aterrizaje,"Accidente | USOS (Undershoot/overshoot) | Non-Commercial Operations / Relocation / Positioning | General Rodríguez, Buenos Aires",,LV-FEX,,,,,,-34.680278,-59.035833,0,0,Alto,USOS,USOS,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-55235134-2020,2020-08-15T15:40:00,,,Estancia Cerro Sólo,Cordoba,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Bussiness / Bussiness | Estancia Cerro Sólo, Cordoba",,LV-ZXR,,,,,,-30.777222,-62.977778,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-72771474-22,2020-08-26T17:10:00,,,Guaratinguetá,Sao Pablo,"ARC (Abnormal runway contact), RE (Runway Excursion)",Pista,Aterrizaje,"Accidente | ARC (Abnormal runway contact), RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Dual | Guaratinguetá, Sao Pablo",,PP-GMC,,,,,,-22.791,-45.204,0,0,Alto,ARC|RE,ARC|RE,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-77463989-2020,2020-09-03T14:45:00,,,Campo la banana,Mexico,Accidente,Operacion,Maniobra a baja altura,"Accidente | Specialised Operations / Aerial Work / Agricultural | Campo la banana, Mexico",,XB-XES,,,,,,-31.794722,-60.373889,0,0,Alto,,,,heuristica_textual,jst_event_code_mapping.csv
JST-RAW-60896240-20,2020-09-12T11:45:00,,,San Fernando,Buenos Aires,"SCF-NP (System/component failure or malfunction (No Powerplant), LOC-G (Loss of control -ground), RE (Runway Excursion)",Pista,Aterrizaje,"Incidente grave | SCF-NP (System/component failure or malfunction (No Powerplant), LOC-G (Loss of control -ground), RE (Runway Excursion) | Commercial Air Transport / Non-Scheduled / Air Ambulance | San Fernando, Buenos Aires",,LV-IYQ,,,,,,-34.456111,-58.593056,0,0,Alto,LOC-G|RE|SCF-NP,LOC-G|RE|SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-66729421-2020,2020-10-04T20:40:00,,,Parada Leis,Misiones,"LOC-I (Loss of control - inflight), OTHR (Other)",Operacion,En vuelo,"Accidente | LOC-I (Loss of control - inflight), OTHR (Other) | Non-Commercial Operations / Pleasure / Otros | Parada Leis, Misiones",,LV-X628,,,,,,-27.606667,-55.865,0,0,Critico,LOC-I|OTHR,LOC-I|OTHR,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-67758415-20,2020-10-06T21:30:00,,,Los Toldos,Buenos Aires,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Accidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Pleasure / Otros | Los Toldos, Buenos Aires",,LV-LXM,,,,,,-35.064167,-60.999444,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-68704744-2020,2020-10-08T11:30:00,,,Suipacha,Buenos Aires,"SCF-NP (System/component failure or malfunction (No Powerplant), LOC-I (Loss of control - inflight)",Tecnico,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant), LOC-I (Loss of control - inflight) | Specialised Operations / Aerial Work / Agricultural | Suipacha, Buenos Aires",,LV-BDY,,,,,,-34.843611,-59.746944,0,0,Critico,LOC-I|SCF-NP,LOC-I|SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-77459814-2020,2020-10-09T15:08:00,,,Brazo Largo,Entre Rios,LOC-I (Loss of control - inflight),Operacion,En vuelo,"Accidente | LOC-I (Loss of control - inflight) | Specialised Operations / Aerial Work / Agricultural | Brazo Largo, Entre Rios",,XB-OKQ,,,,,,-31.363333,-64.125278,0,0,Critico,LOC-I,LOC-I,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-70329590-20,2020-10-17T14:40:00,,,Timbúes,Santa Fe,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Other | Timbúes, Santa Fe",,LV-MOM,,,,,,-32.698611,-60.765556,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-72216558-2020,2020-10-24T20:00:00,,,ELDORADO,Misiones,OTHR (Other),Operacion,En vuelo,"Incidente | OTHR (Other) | Non-Commercial Operations / Flight Training/Instructional / Other | ELDORADO, Misiones",,LV-CLJ,,,,,,-26.566111,-54.633333,0,0,Medio,OTHR,OTHR,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-74339534-2020,2020-10-31T22:30:00,,,Marcos Juarez,Cordoba,USOS (Undershoot/overshoot),Pista,Aterrizaje,"Accidente | USOS (Undershoot/overshoot) | Non-Commercial Operations / Pleasure / Otros | Marcos Juarez, Cordoba",,LV-IIE,,,,,,-32.684444,-62.158056,0,0,Alto,USOS,USOS,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-74340779-2020,2020-11-01T17:20:00,,,Aeródromo de Rauch,Buenos Aires,GTOW (Glider towing related events),Operacion,Despegue,"Accidente | GTOW (Glider towing related events) | Non-Commercial Operations / Flight Training/Instructional / Other | Aeródromo de Rauch, Buenos Aires",,LV-DHD,,,,,,-36.672222,-59.058333,0,0,Alto,GTOW,GTOW,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-74344013-2020,2020-11-01T20:40:00,,,Morón,Buenos Aires,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Other | Morón, Buenos Aires",,LV-IUV,,,,,,-35.210833,-59.136667,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-75511048-2020,2020-11-05T12:55:00,,,El Plumerillo,Mendoza,"SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",Pista,Aterrizaje,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion) | Non-Commercial Operations / Bussiness / Bussiness | El Plumerillo, Mendoza",,LV-VDJ,,,,,,-32.831667,-68.792778,0,0,Alto,RE|SCF-NP,RE|SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-78780080-2020,2020-11-13T21:20:00,,,Santo Tomé,Corrientes,OTHR (Other),Operacion,En vuelo,"Accidente | OTHR (Other) | Non-Commercial Operations / Flight Training/Instructional / Other | Santo Tomé, Corrientes",,LV-YFB,,,,,,-28.547778,-56.098611,0,0,Medio,OTHR,OTHR,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-79286405-2020,2020-11-17T14:50:00,,,Lujan,Buenos Aires,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Accidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Other | Lujan, Buenos Aires",,LV-YNN,,,,,,-34.507222,-59.138611,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-19695992-23,2020-11-20T19:15:00,,,Rio Juramento,Salta,"NAV (Navigation Error), LALT (Low altitude operations), CFIT (Controlled fligth into or toward terrain)",Operacion,Maniobra a baja altura,"Accidente | NAV (Navigation Error), LALT (Low altitude operations), CFIT (Controlled fligth into or toward terrain) | Non-Commercial Operations / Bussiness / Bussiness | Rio Juramento, Ruta Provincial 47 km 32,5; Coronel Moldes, Salta",,LV-FQN,,,,,,-25.293056,-65.288889,0,0,Critico,CFIT|LALT|NAV,CFIT|LALT|NAV,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-82929801-2020,2020-11-28T12:55:00,,,Valle de Conlara,San Luis,ARC (Abnormal runway contact),Pista,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Pleasure / Otros | Valle de Conlara, San Luis",,LV-JLF,,,,,,-32.384444,-65.185833,0,0,Alto,ARC,ARC,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-84605430-2020,2020-12-04T12:18:00,,,Ita Ibate,Corrientes,RE (Runway Excursion),Pista,Aterrizaje,"Accidente | RE (Runway Excursion) | Specialised Operations / Aerial Work / Agricultural | Ita Ibate, Corrientes",,LV-GUQ,,,,,,-27.50638,-57.66083,0,0,Alto,RE,RE,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-84943777-2020,2020-12-05T19:40:00,,,Cañuelas,Buenos Aires,ARC (Abnormal runway contact),Pista,Aterrizaje,"Incidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Pleasure / Otros | Cañuelas, Buenos Aires",,LV-DEY,,,,,,-35.111667,-58.726389,0,0,Alto,ARC,ARC,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-84943876-2020,2020-12-06T13:30:00,,,La Cumbre,Cordoba,ARC (Abnormal runway contact),Pista,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Flight Training/Instructional / Solo (supervised) | La Cumbre, Cordoba",,LV-S034,,,,,,-31.005,-64.532778,0,0,Alto,ARC,ARC,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-85256397-2020,2020-12-08T18:00:00,,,Río Cuarto - (SAOC),Cordoba,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Bussiness / Bussiness | Río Cuarto - (SAOC), Cordoba",,LV-WLS,,,,,,-33.085278,-64.261389,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-85395053-2020,2020-12-09T15:30:00,,,Partido de Bahia Blanca,Buenos Aires,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Pleasure / Otros | Partido de Bahia Blanca, Buenos Aires",,LV-HTI,,,,,,-38.941389,-62.470278,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-5229196-23,2020-12-11T10:20:00,,,Mercedes,Corrientes,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Accidente | SCF-PP (Powerplant failure or malfunction) | Specialised Operations / Aerial Work / Agricultural | Mercedes, Corrientes",,LV-CII,,,,,,-29.360833,-58.119167,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-89597356-2020,2020-12-21T19:10:00,,,Los Toldos,Buenos Aires,ADRM (Aerodrome),Pista,Aproximacion,"Incidente | ADRM (Aerodrome) | Non-Commercial Operations / Flight Training/Instructional / Other | Los Toldos, Buenos Aires",,LV-BXM,,,,,,-34.972222,-61.015,0,0,Medio,ADRM,ADRM,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-90693298-2020,2020-12-28T13:00:00,,,Lago Nahuel Huapi,Rio Negro,CTOL (Collision with obstacle during take-off and landing),Operacion,Despegue,"Accidente | CTOL (Collision with obstacle during take-off and landing) | Non-Commercial Operations / Pleasure / Local | Lago Nahuel Huapi, Rio Negro",,LV-X226,,,,,,-41.053889,-71.198333,0,0,Critico,CTOL,CTOL,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-02025653-21,2021-01-07T19:39:00,,,Comodoro Rivadavia,Chubut,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Relocation / Delivery | Comodoro Rivadavia, Chubut",,LV-LTT,,,,,,-38.727222,-62.153333,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-02505382-21,2021-01-08T16:00:00,,,Lago Cholila,Chubut,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Pleasure / Otros | Lago Cholila, Chubut",,LV-S004,,,,,,-42.464444,-71.597222,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-4510926-21,2021-01-09T21:30:00,,,Pergamino,Buenos Aires,ADRM (Aerodrome),Pista,Aproximacion,"Accidente | ADRM (Aerodrome) | Non-Commercial Operations / Pleasure / Local | Pergamino, Buenos Aires",,LV-X251,,,,,,-33.920278,-60.648056,0,0,Medio,ADRM,ADRM,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-3324219-21,2021-01-12T19:30:00,,,El Pampero,La Pampa,LOC-G (Loss of control -ground),Operacion,Rodaje,"Accidente | LOC-G (Loss of control -ground) | Non-Commercial Operations / Flight Training/Instructional / Other | El Pampero, La Pampa",,LV-JZF,,,,,,-36.596667,-64.187222,0,0,Alto,LOC-G,LOC-G,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-6589216-21,2021-01-23T18:00:00,,,Pérez,Santa Fe,"SCF-NP (System/component failure or malfunction (No Powerplant), AMAN (Abrupt Maneuvre)",Tecnico,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant), AMAN (Abrupt Maneuvre) | Non-Commercial Operations / Pleasure / Otros | Pérez, Santa Fe",,LV-X198,,,,,,-33.013889,-60.8,0,0,Alto,AMAN|SCF-NP,AMAN|SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-24072277-21,2021-01-23T20:00:00,,,Pinamar,Buenos Aires,ADRM (Aerodrome),Pista,Aproximacion,"Incidente | ADRM (Aerodrome) | Non-Commercial Operations / Flight Training/Instructional / Other | Pinamar, Buenos Aires",,LV-IHF,,,,,,-37.09638,-56.97416,0,0,Medio,ADRM,ADRM,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-7146576-21,2021-01-26T09:30:00,,,Ministro Pistarini -Ezeiza (SAEZ),Buenos Aires,RI (Runway Incursion),Pista,Rodaje,"Incidente grave | RI (Runway Incursion) | Commercial Air Transport / Scheduled / Airline (domestic) | Ministro Pistarini -Ezeiza (SAEZ), Buenos Aires",,LV-HFR,,,,,,-34.816111,-58.532778,0,0,Medio,RI,RI,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-7090271-21,2021-01-26T17:05:00,,,General Rodríguez,Buenos Aires,"F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight)",Seguridad operacional,En tierra,"Accidente | F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight) | Non-Commercial Operations / Pleasure / Otros | General Rodríguez, Buenos Aires",,LV-X611,,,,,,-34.256667,-63.595278,0,0,Critico,F-POST|LOC-I,F-POST|LOC-I,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-11837194-21,2021-02-09T11:00:00,,,Saira,Cordoba,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Accidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Bussiness / Bussiness | Saira, Cordoba",,LV-LXD,,,,,,-25.737222,-54.473333,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-13476494-21,2021-02-11T21:30:00,,,Alcaraz,Entre Rios,UNK (Unknown o undetermined),Operacion,En vuelo,"Accidente | UNK (Unknown o undetermined) | Specialised Operations / Aerial Work / Agricultural | Alcaraz, Entre Rios",,LV-BNL,,,,,,-31.521944,-59.491944,0,0,Bajo,UNK,UNK,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-13467164-2021,2021-02-14T21:00:00,,,Pehuajo,Buenos Aires,FUEL (Fuel related),Tecnico,Ascenso inicial,"Accidente | FUEL (Fuel related) | Non-Commercial Operations / Pleasure / Otros | Pehuajo, Buenos Aires",,LV-GMJ,,,,,,-35.820833,-61.855278,0,0,Alto,FUEL,FUEL,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-16573504-21,2021-02-23T20:00:00,,,General Belgrano,Salta,ARC (Abnormal runway contact),Pista,Aterrizaje,"Incidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Flight Training/Instructional / Other | General Belgrano, Salta",,LV-ASJ,,,,,,-24.745833,-65.418889,0,0,Alto,ARC,ARC,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-18060055-21,2021-03-02T15:00:00,,,Aeroclub San Lorenzo,Santa Fe,"SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",Pista,Aterrizaje,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Solo (supervised) | Aeroclub San Lorenzo, Santa Fe",,LV-ODP,,,,,,-32.718333,-60.785278,0,0,Alto,RE|SCF-NP,RE|SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-19196545-21,2021-03-04T13:30:00,,,25 de mayo,Buenos Aires,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",Operacion,Maniobra a baja altura,"Accidente | LALT (Low altitude operations), LOC-I (Loss of control - inflight) | Specialised Operations / Aerial Work / Other | 25 de mayo, Buenos Aires",,LV-BHV,,,,,,-35.495278,-59.866667,0,0,Critico,LALT|LOC-I,LALT|LOC-I,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-20256169-21,2021-03-05T22:00:00,,,San Fernando,Buenos Aires,BIRD (Birdstrike),Fauna,Ascenso inicial,"Incidente | BIRD (Birdstrike) | Commercial Air Transport / Non-Scheduled / Airline (domestic) | San Fernando, Buenos Aires",,LV-GOM,,,,,,-34.455,-58.591389,0,0,Alto,BIRD,BIRD,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-20098649-21,2021-03-06T11:25:00,,,Timbúes,Santa Fe,FUEL (Fuel related),Tecnico,Ascenso inicial,"Incidente grave | FUEL (Fuel related) | Non-Commercial Operations / Pleasure / Otros | Timbúes, Santa Fe",,LV-ITP,,,,,,-32.68305,-60.77722,0,0,Alto,FUEL,FUEL,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-20096630-21,2021-03-06T12:45:00,,,Aeródromo Uspallata,Mendoza,"WSTRW (Windshear or thunderstorm), LALT (Low altitude operations), LOC-I (Loss of control - inflight)",Operacion,Aproximacion,"Accidente | WSTRW (Windshear or thunderstorm), LALT (Low altitude operations), LOC-I (Loss of control - inflight) | Unknown / Unknown / Se desconoce | Aeródromo Uspallata, Mendoza",,LV-S084,,,,,,-32.763333,-69.39,0,0,Critico,LALT|LOC-I|WSTRW,LALT|LOC-I|WSTRW,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-20087088-21,2021-03-06T22:30:00,,,General San Martín,Mendoza,ARC (Abnormal runway contact),Pista,Aterrizaje,"Incidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Flight Training/Instructional / Other | General San Martín, Mendoza",,LV-S029,,,,,,-33.062222,-68.509444,0,0,Alto,ARC,ARC,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-20099792-21,2021-03-07T23:00:00,,,Concordia,Entre Rios,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente grave | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Bussiness / Bussiness | Concordia, Entre Rios",,LV-ZYB,,,,,,-31.296944,-57.996667,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-22564759-21,2021-03-12T21:55:00,,,La Matanza,Buenos Aires,"SCF-PP (Powerplant failure or malfunction), RE (Runway Excursion)",Pista,Ascenso inicial,"Accidente | SCF-PP (Powerplant failure or malfunction), RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Other | La Matanza, Buenos Aires",,LV-AMS,,,,,,-34.72361,-58.515,0,0,Alto,RE|SCF-PP,RE|SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-26301118-21,2021-03-23T19:05:00,,,Posadas Gral José de San Martín (SARP),Misiones,"SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",Pista,Aterrizaje,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Other | Posadas Gral José de San Martín (SARP), Misiones",,LV-X641,,,,,,-27.38583,-55.97055,0,0,Alto,RE|SCF-NP,RE|SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-26302678-21,2021-03-24T13:30:00,,,Ceres,Santa Fe,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",Operacion,Maniobra a baja altura,"Accidente | LALT (Low altitude operations), LOC-I (Loss of control - inflight) | Specialised Operations / Aerial Work / Agricultural | Ceres, Santa Fe",,LV-MCJ,,,,,,-29.7575,-61.87805,0,0,Critico,LALT|LOC-I,LALT|LOC-I,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
